Imagen,Frontal,Metricas
00_17_1680262265224_rgb.png,NO,Dev:3.64 Ratio:0.05
00_17_1680259494142_rgb.png,NO,Dev:4.15 Ratio:0.05
00_17_1680262480469_rgb.png,NO,Dev:0.36 Ratio:0.57
00_17_1680262321819_rgb.png,NO,Dev:1.56 Ratio:0.11
00_17_1680259798527_rgb.png,NO,Dev:202.53 Ratio:0.00
00_17_1680259521542_rgb.png,NO,Dev:4.59 Ratio:0.03
00_17_1680259785280_rgb.png,NO,Dev:13.65 Ratio:0.02
00_17_1680259770526_rgb.png,NO,Dev:9.06 Ratio:0.02
00_17_1680262465720_rgb.png,SÍ,Dev:0.05 Ratio:0.59
00_17_1680262675547_rgb.png,NO,Dev:6.24 Ratio:0.04
00_17_1680259595602_rgb.png,NO,Dev:2.07 Ratio:0.11
00_17_1680262546099_rgb.png,NO,Dev:2.70 Ratio:0.10
00_17_1680262554528_rgb.png,NO,Dev:1.93 Ratio:0.12
00_17_1680262440734_rgb.png,SÍ,Dev:0.04 Ratio:0.52
00_17_1680259679300_rgb.png,SÍ,Dev:0.06 Ratio:0.54
00_17_1680262631893_rgb.png,NO,Dev:1.74 Ratio:0.12
00_17_1680259836158_rgb.png,NO,Dev:2.31 Ratio:0.11
00_17_1680259490829_rgb.png,NO,Dev:28.06 Ratio:0.01
00_17_1680262263718_rgb.png,NO,Dev:3.41 Ratio:0.04
00_17_1680262573492_rgb.png,NO,Dev:12.28 Ratio:0.02
00_17_1680259657018_rgb.png,SÍ,Dev:0.01 Ratio:0.55
00_17_1680259507393_rgb.png,NO,Dev:2.35 Ratio:0.08
00_17_1680259460407_rgb.png,NO,Dev:2.33 Ratio:0.10
00_17_1680262717390_rgb.png,NO,Dev:1.57 Ratio:0.15
00_17_1680259617879_rgb.png,SÍ,Dev:0.03 Ratio:0.57
00_17_1680259491733_rgb.png,NO,Dev:40.34 Ratio:0.00
00_17_1680262733044_rgb.png,NO,Dev:2.30 Ratio:0.10
00_17_1680262467225_rgb.png,SÍ,Dev:0.00 Ratio:1.25
00_17_1680259578744_rgb.png,NO,Dev:2.85 Ratio:0.08
00_17_1680262230908_rgb.png,NO,Dev:17.11 Ratio:0.01
00_17_1680262303757_rgb.png,NO,Dev:3.25 Ratio:0.06
00_17_1680262237832_rgb.png,NO,Dev:3.67 Ratio:0.05
00_17_1680259481192_rgb.png,NO,Dev:6.61 Ratio:0.03
00_17_1680262552722_rgb.png,NO,Dev:1.26 Ratio:0.16
00_17_1680259477579_rgb.png,NO,Dev:2.66 Ratio:0.07
00_17_1680262441336_rgb.png,SÍ,Dev:0.07 Ratio:0.53
00_17_1680259482095_rgb.png,NO,Dev:3.11 Ratio:0.06
00_17_1680262297134_rgb.png,NO,Dev:4.33 Ratio:0.06
00_17_1680259706998_rgb.png,NO,Dev:0.26 Ratio:0.72
00_17_1680259593795_rgb.png,NO,Dev:2.27 Ratio:0.09
00_17_1680262544895_rgb.png,NO,Dev:2.35 Ratio:0.10
00_17_1680262664710_rgb.png,NO,Dev:2.90 Ratio:0.07
00_17_1680259782269_rgb.png,NO,Dev:3.30 Ratio:0.09
00_17_1680259688030_rgb.png,SÍ,Dev:0.16 Ratio:0.66
00_17_1680259655814_rgb.png,SÍ,Dev:0.02 Ratio:0.57
00_17_1680259506791_rgb.png,NO,Dev:6.45 Ratio:0.03
00_17_1680262568375_rgb.png,NO,Dev:8.56 Ratio:0.03
00_17_1680262601489_rgb.png,NO,Dev:2.86 Ratio:0.08
00_17_1680262732442_rgb.png,NO,Dev:2.03 Ratio:0.12
00_17_1680262466623_rgb.png,SÍ,Dev:0.02 Ratio:1.50
00_17_1680259834954_rgb.png,NO,Dev:7.74 Ratio:0.03
00_17_1680262553324_rgb.png,NO,Dev:1.74 Ratio:0.12
00_17_1680259664246_rgb.png,SÍ,Dev:0.00 Ratio:1.15
00_17_1680262296532_rgb.png,NO,Dev:11.23 Ratio:0.02
00_17_1680262650557_rgb.png,NO,Dev:4.34 Ratio:0.06
00_17_1680262500039_rgb.png,SÍ,Dev:0.07 Ratio:0.54
00_17_1680262690597_rgb.png,NO,Dev:2.58 Ratio:0.10
00_17_1680259660031_rgb.png,SÍ,Dev:0.07 Ratio:0.93
00_17_1680262524423_rgb.png,SÍ,Dev:0.00 Ratio:0.56
00_17_1680259546533_rgb.png,NO,Dev:2.80 Ratio:0.07
00_17_1680262497931_rgb.png,SÍ,Dev:0.15 Ratio:0.56
00_17_1680262178830_rgb.png,NO,Dev:30.95 Ratio:0.01
00_17_1680262518702_rgb.png,SÍ,Dev:0.01 Ratio:0.55
00_17_1680262209234_rgb.png,NO,Dev:4.83 Ratio:0.04
00_17_1680262691199_rgb.png,NO,Dev:3.83 Ratio:0.07
00_17_1680262435918_rgb.png,NO,Dev:0.18 Ratio:0.50
00_17_1680262706252_rgb.png,NO,Dev:41.70 Ratio:0.01
00_17_1680262651159_rgb.png,NO,Dev:10.41 Ratio:0.03
00_17_1680262590051_rgb.png,NO,Dev:3.41 Ratio:0.06
00_17_1680259744332_rgb.png,NO,Dev:20.87 Ratio:0.01
00_17_1680262318206_rgb.png,NO,Dev:9.07 Ratio:0.03
00_17_1680259478182_rgb.png,NO,Dev:3.88 Ratio:0.05
00_17_1680262408523_rgb.png,SÍ,Dev:0.05 Ratio:0.54
00_17_1680259833448_rgb.png,NO,Dev:0.98 Ratio:0.23
00_17_1680259839470_rgb.png,NO,Dev:0.59 Ratio:0.35
00_17_1680262208632_rgb.png,NO,Dev:25.38 Ratio:0.01
00_17_1680262519304_rgb.png,SÍ,Dev:0.05 Ratio:0.54
00_17_1680259711513_rgb.png,SÍ,Dev:0.14 Ratio:0.55
00_17_1680259547135_rgb.png,NO,Dev:2.09 Ratio:0.09
00_17_1680259700072_rgb.png,SÍ,Dev:0.08 Ratio:0.62
00_17_1680259649793_rgb.png,SÍ,Dev:0.05 Ratio:0.48
00_17_1680262627377_rgb.png,NO,Dev:2.04 Ratio:0.11
00_17_1680259511006_rgb.png,NO,Dev:2.83 Ratio:0.07
00_17_1680262633097_rgb.png,NO,Dev:2.15 Ratio:0.09
00_17_1680262409125_rgb.png,SÍ,Dev:0.08 Ratio:0.54
00_17_1680262296833_rgb.png,NO,Dev:8.66 Ratio:0.03
00_17_1680259599816_rgb.png,SÍ,Dev:0.01 Ratio:0.56
00_17_1680262305263_rgb.png,NO,Dev:7.76 Ratio:0.03
00_17_1680262469934_rgb.png,SÍ,Dev:0.09 Ratio:0.52
00_17_1680259504984_rgb.png,NO,Dev:3.24 Ratio:0.04
00_17_1680262582222_rgb.png,NO,Dev:39.44 Ratio:0.01
00_17_1680262555733_rgb.png,NO,Dev:1.64 Ratio:0.13
00_17_1680262295930_rgb.png,NO,Dev:5.33 Ratio:0.04
00_17_1680262321518_rgb.png,NO,Dev:4.09 Ratio:0.05
00_17_1680262731840_rgb.png,NO,Dev:1.45 Ratio:0.14
00_17_1680259770827_rgb.png,NO,Dev:0.75 Ratio:0.21
00_17_1680262612327_rgb.png,NO,Dev:19.09 Ratio:0.01
00_17_1680259656416_rgb.png,SÍ,Dev:0.02 Ratio:0.56
00_17_1680259474267_rgb.png,NO,Dev:1.62 Ratio:0.12
00_17_1680262545196_rgb.png,NO,Dev:2.46 Ratio:0.10
00_17_1680262554829_rgb.png,NO,Dev:1.66 Ratio:0.14
00_17_1680262201709_rgb.png,NO,Dev:20.70 Ratio:0.01
00_17_1680259473966_rgb.png,NO,Dev:2.24 Ratio:0.09
00_17_1680259490528_rgb.png,NO,Dev:12.41 Ratio:0.02
00_17_1680262626775_rgb.png,NO,Dev:1.76 Ratio:0.12
00_17_1680259553759_rgb.png,NO,Dev:2.00 Ratio:0.11
00_17_1680262631592_rgb.png,NO,Dev:1.52 Ratio:0.13
00_17_1680259510404_rgb.png,NO,Dev:2.22 Ratio:0.07
00_17_1680262565967_rgb.png,NO,Dev:16.01 Ratio:0.01
00_17_1680259771128_rgb.png,NO,Dev:2.74 Ratio:0.08
00_17_1680262566569_rgb.png,NO,Dev:3.48 Ratio:0.07
00_17_1680262304661_rgb.png,NO,Dev:18.34 Ratio:0.01
00_17_1680262673741_rgb.png,NO,Dev:23.49 Ratio:0.01
00_17_1680259799129_rgb.png,NO,Dev:30.43 Ratio:0.01
00_17_1680262188162_rgb.png,NO,Dev:2.13 Ratio:0.08
00_17_1680262421468_rgb.png,SÍ,Dev:0.01 Ratio:0.50
00_17_1680259633535_rgb.png,SÍ,Dev:0.05 Ratio:0.52
00_17_1680262632495_rgb.png,NO,Dev:1.80 Ratio:0.11
00_17_1680259617578_rgb.png,SÍ,Dev:0.00 Ratio:0.56
00_17_1680259631729_rgb.png,SÍ,Dev:0.01 Ratio:0.55
00_17_1680259569413_rgb.png,NO,Dev:2.14 Ratio:0.16
00_17_1680259782871_rgb.png,NO,Dev:19.07 Ratio:0.02
00_17_1680259539609_rgb.png,NO,Dev:1.18 Ratio:0.24
00_17_1680262425983_rgb.png,SÍ,Dev:0.01 Ratio:0.50
00_17_1680262630689_rgb.png,NO,Dev:1.64 Ratio:0.13
00_17_1680259554059_rgb.png,NO,Dev:1.36 Ratio:0.15
00_17_1680259829835_rgb.png,NO,Dev:0.83 Ratio:0.32
00_17_1680262583728_rgb.png,NO,Dev:3.94 Ratio:0.06
00_17_1680262229102_rgb.png,NO,Dev:9.78 Ratio:0.02
00_17_1680259685623_rgb.png,SÍ,Dev:0.00 Ratio:0.74
00_17_1680262390459_rgb.png,SÍ,Dev:0.09 Ratio:0.54
00_17_1680262287801_rgb.png,NO,Dev:3.03 Ratio:0.07
00_17_1680262299844_rgb.png,NO,Dev:2.38 Ratio:0.10
00_17_1680262496727_rgb.png,NO,Dev:0.22 Ratio:0.56
00_17_1680262246561_rgb.png,NO,Dev:17.97 Ratio:0.01
00_17_1680262693609_rgb.png,NO,Dev:14.35 Ratio:0.02
00_17_1680262446757_rgb.png,SÍ,Dev:0.12 Ratio:0.55
00_17_1680259668761_rgb.png,SÍ,Dev:0.01 Ratio:0.60
00_17_1680262203515_rgb.png,NO,Dev:0.98 Ratio:0.13
00_17_1680262491008_rgb.png,SÍ,Dev:0.07 Ratio:0.54
00_17_1680262356740_rgb.png,SÍ,Dev:0.14 Ratio:0.52
00_17_1680262621660_rgb.png,NO,Dev:2.19 Ratio:0.10
00_17_1680262349516_rgb.png,SÍ,Dev:0.12 Ratio:0.52
00_17_1680259769021_rgb.png,NO,Dev:1.53 Ratio:0.12
00_17_1680262377211_rgb.png,SÍ,Dev:0.07 Ratio:0.52
00_17_1680262564160_rgb.png,NO,Dev:4.32 Ratio:0.06
00_17_1680262300145_rgb.png,NO,Dev:2.34 Ratio:0.09
00_17_1680259777752_rgb.png,NO,Dev:14.29 Ratio:0.02
00_17_1680259552253_rgb.png,NO,Dev:1.69 Ratio:0.11
00_17_1680262279071_rgb.png,NO,Dev:5.47 Ratio:0.04
00_17_1680259666052_rgb.png,SÍ,Dev:0.06 Ratio:0.55
00_17_1680262698426_rgb.png,NO,Dev:7.86 Ratio:0.03
00_17_1680259589580_rgb.png,NO,Dev:1.32 Ratio:0.21
00_17_1680262634903_rgb.png,NO,Dev:1.74 Ratio:0.13
00_17_1680262360954_rgb.png,SÍ,Dev:0.11 Ratio:0.54
00_17_1680262486793_rgb.png,SÍ,Dev:0.12 Ratio:0.57
00_17_1680262228500_rgb.png,NO,Dev:32.71 Ratio:0.01
00_17_1680262196291_rgb.png,NO,Dev:26.61 Ratio:0.01
00_17_1680259486312_rgb.png,NO,Dev:3.52 Ratio:0.06
00_17_1680262591856_rgb.png,NO,Dev:2.70 Ratio:0.08
00_17_1680259642567_rgb.png,SÍ,Dev:0.03 Ratio:0.54
00_17_1680262592458_rgb.png,NO,Dev:0.95 Ratio:0.19
00_17_1680262294726_rgb.png,NO,Dev:7.84 Ratio:0.04
00_17_1680262671634_rgb.png,NO,Dev:1.55 Ratio:0.18
00_17_1680259809966_rgb.png,NO,Dev:2.99 Ratio:0.19
00_17_1680262345603_rgb.png,SÍ,Dev:0.08 Ratio:0.52
00_17_1680262236628_rgb.png,NO,Dev:39.87 Ratio:0.01
00_17_1680259501069_rgb.png,NO,Dev:0.59 Ratio:0.27
00_17_1680259661537_rgb.png,SÍ,Dev:0.01 Ratio:0.61
00_17_1680259728679_rgb.png,NO,Dev:3.92 Ratio:0.07
00_17_1680262742377_rgb.png,NO,Dev:1.05 Ratio:0.23
00_17_1680262487395_rgb.png,SÍ,Dev:0.15 Ratio:0.57
00_17_1680259598011_rgb.png,NO,Dev:1.69 Ratio:0.13
00_17_1680259689536_rgb.png,NO,Dev:0.28 Ratio:0.72
00_17_1680259747645_rgb.png,NO,Dev:84.83 Ratio:0.00
00_17_1680262357342_rgb.png,SÍ,Dev:0.11 Ratio:0.50
00_17_1680259589881_rgb.png,NO,Dev:1.27 Ratio:0.19
00_17_1680262337775_rgb.png,NO,Dev:2.60 Ratio:0.08
00_17_1680262415446_rgb.png,SÍ,Dev:0.13 Ratio:0.53
00_17_1680259783172_rgb.png,NO,Dev:34.08 Ratio:0.01
00_17_1680262314896_rgb.png,NO,Dev:5.73 Ratio:0.04
00_17_1680262228801_rgb.png,NO,Dev:7.29 Ratio:0.03
00_17_1680262484986_rgb.png,SÍ,Dev:0.04 Ratio:0.52
00_17_1680262189969_rgb.png,NO,Dev:4.87 Ratio:0.04
00_17_1680259500467_rgb.png,NO,Dev:1.97 Ratio:0.09
00_17_1680259812374_rgb.png,NO,Dev:6.16 Ratio:0.09
00_17_1680259526361_rgb.png,NO,Dev:0.96 Ratio:0.11
00_17_1680259612160_rgb.png,SÍ,Dev:0.01 Ratio:0.55
00_17_1680262295328_rgb.png,NO,Dev:9.67 Ratio:0.03
00_17_1680259647083_rgb.png,SÍ,Dev:0.03 Ratio:0.56
00_17_1680259643169_rgb.png,SÍ,Dev:0.02 Ratio:0.56
00_17_1680262386244_rgb.png,SÍ,Dev:0.01 Ratio:0.52
00_17_1680262574396_rgb.png,NO,Dev:10.14 Ratio:0.02
00_17_1680259485408_rgb.png,NO,Dev:4.25 Ratio:0.05
00_17_1680262644237_rgb.png,NO,Dev:2.80 Ratio:0.08
00_17_1680262643936_rgb.png,NO,Dev:3.95 Ratio:0.06
00_17_1680259689837_rgb.png,NO,Dev:0.38 Ratio:0.63
00_17_1680259825621_rgb.png,NO,Dev:7.86 Ratio:0.04
00_17_1680262699028_rgb.png,NO,Dev:8.76 Ratio:0.03
00_17_1680259532081_rgb.png,NO,Dev:1.94 Ratio:0.09
00_17_1680262180636_rgb.png,NO,Dev:1.79 Ratio:0.09
00_17_1680259782570_rgb.png,NO,Dev:4.03 Ratio:0.08
00_17_1680262537969_rgb.png,SÍ,Dev:0.10 Ratio:0.58
00_17_1680262580115_rgb.png,NO,Dev:2.57 Ratio:0.07
00_17_1680262490406_rgb.png,SÍ,Dev:0.05 Ratio:0.51
00_17_1680259657622_rgb.png,SÍ,Dev:0.01 Ratio:0.54
00_17_1680262636107_rgb.png,NO,Dev:1.59 Ratio:0.14
00_17_1680262438325_rgb.png,SÍ,Dev:0.08 Ratio:0.52
00_17_1680262447359_rgb.png,SÍ,Dev:0.12 Ratio:0.54
00_17_1680262287500_rgb.png,NO,Dev:3.20 Ratio:0.06
00_17_1680259829534_rgb.png,NO,Dev:1.07 Ratio:0.26
00_17_1680262426585_rgb.png,SÍ,Dev:0.05 Ratio:0.48
00_17_1680262178228_rgb.png,NO,Dev:410.93 Ratio:0.00
00_17_1680262497329_rgb.png,NO,Dev:0.25 Ratio:0.59
00_17_1680262655675_rgb.png,NO,Dev:6.78 Ratio:0.04
00_17_1680259641965_rgb.png,SÍ,Dev:0.02 Ratio:0.54
00_17_1680259646481_rgb.png,SÍ,Dev:0.05 Ratio:0.54
00_17_1680262349817_rgb.png,SÍ,Dev:0.12 Ratio:0.51
00_17_1680259464327_rgb.png,NO,Dev:1.94 Ratio:0.11
00_17_1680259636244_rgb.png,SÍ,Dev:0.02 Ratio:0.56
00_17_1680259750957_rgb.png,NO,Dev:20.60 Ratio:0.01
00_17_1680259622696_rgb.png,SÍ,Dev:0.00 Ratio:0.56
00_17_1680259574831_rgb.png,NO,Dev:3.04 Ratio:0.07
00_17_1680262431703_rgb.png,SÍ,Dev:0.07 Ratio:0.53
00_17_1680262457894_rgb.png,NO,Dev:0.19 Ratio:0.52
00_17_1680259786183_rgb.png,NO,Dev:3.59 Ratio:0.09
00_17_1680262331754_rgb.png,NO,Dev:0.75 Ratio:0.21
00_17_1680262208933_rgb.png,NO,Dev:19.41 Ratio:0.01
00_17_1680262597576_rgb.png,NO,Dev:0.86 Ratio:0.19
00_17_1680262176121_rgb.png,NO,Dev:11.52 Ratio:0.02
00_17_1680262266127_rgb.png,NO,Dev:49.45 Ratio:0.00
00_17_1680262392867_rgb.png,SÍ,Dev:0.05 Ratio:0.52
00_17_1680262221575_rgb.png,NO,Dev:75.72 Ratio:0.00
00_17_1680259742828_rgb.png,NO,Dev:22.18 Ratio:0.01
